"keyword","appearance_count","average_impact","total_impact"
"fire","21","0.2125326940158774","4.463186574333426"
"storm","19","0.21585126555822956","4.101174045606362"
"terrorist","6","0.3433699027615755","2.0602194165694527"
"buildings","13","0.13585939221770668","1.766172098830187"
"nuclear","9","0.18623100358268452","1.6760790322441608"
"disaster","8","0.20256967782916036","1.6205574226332828"
"burning","11","0.14030763093967724","1.5433839403364495"
"survivors","6","0.2356716543630076","1.4140299261780456"
"in","41","0.03424658732634507","1.4041100803801478"
"accident","6","0.21995378143501176","1.3197226886100706"
"there","12","0.10137718949085361","1.2165262738902434"
"emergency","8","0.14378286043938715","1.1502628835150972"
"earthquake","3","0.36593875226875144","1.0978162568062544"
"killed","2","0.5483885952271521","1.0967771904543042"
"bomb","5","0.21738782284470898","1.086939114223545"
"terrorism","3","0.36216175827818614","1.0864852748345584"
"the","62","0.015548361910592138","0.9639984384567126"
"catastrophe","6","0.14995088811135954","0.8997053286681572"
"heat","5","0.17792507429840043","0.8896253714920022"
"flood","6","0.14823308726772666","0.88939852360636"
"hi","11","0.07978315919524794","0.8776147511477272"
"engulfed","4","0.20800432021496817","0.8320172808598727"
"a","45","0.018152418787705037","0.8168588454467267"
"of","32","0.024865707642265793","0.7957026445525054"
"catastrophic","6","0.12880650302395225","0.7728390181437135"
"explosion","2","0.3636690595885739","0.7273381191771477"
"violent","6","0.12095536679650347","0.7257322007790208"
"rescued","4","0.17978356021922082","0.7191342408768833"
"fatalities","2","0.34709581383503973","0.6941916276700795"
"fatal","5","0.13713807887397705","0.6856903943698853"
"abused","2","0.33551958823227324","0.6710391764645465"
"arson","6","0.10792804466715704","0.6475682680029422"
"electro","4","0.15847448651038576","0.633897946041543"
"jack","10","0.06219253007244939","0.6219253007244939"
"tornado","2","0.308930495812092","0.617860991624184"
"hurricane","2","0.3011285378597677","0.6022570757195354"
"seismic","4","0.1480317451641895","0.592126980656758"
"destroyed","1","0.583069694112055","0.583069694112055"
"casualties","2","0.2878831773996353","0.5757663547992706"
"is","25","0.021645753724141716","0.5411438431035429"
"parole","2","0.2704890621243976","0.5409781242487952"
"truck","6","0.08841726762087394","0.5305036057252437"
"terrorists","1","0.5294749275781214","0.5294749275781214"
"sink","5","0.10363834246527404","0.5181917123263702"
"evacuation","1","0.5173843270167708","0.5173843270167708"
"responding","1","0.517247351934202","0.517247351934202"
"burned","1","0.5012950974050909","0.5012950974050909"
"apocalypse","6","0.08280508639290929","0.49683051835745573"
"climate","2","0.24797871499322355","0.4959574299864471"
"wave","5","0.0981922767823562","0.490961383911781"
"ambulance","3","0.1601591060947006","0.4804773182841018"
"near","4","0.11787680489942431","0.47150721959769726"
"det","8","0.05861872532841517","0.46894980262732133"
"destroy","3","0.15537130976251015","0.4661139292875305"
"its","10","0.046334395064817124","0.46334395064817124"
"floods","2","0.2259514812612906","0.4519029625225812"
"exploded","2","0.22293441882357","0.44586883764714"
"ailed","4","0.1114467607694678","0.4457870430778712"
"attacked","2","0.2130397893488407","0.4260795786976814"
"mass","2","0.21016855211928487","0.42033710423856974"
"famine","2","0.20933969411998987","0.41867938823997974"
"hazardous","2","0.20887587370816618","0.41775174741633236"
"could","6","0.06909364284576335","0.4145618570745801"
"volcano","2","0.19977503072004765","0.3995500614400953"
"on","15","0.026596185522309194","0.3989427828346379"
"der","6","0.06581583291214581","0.3948949974728748"
"blew","2","0.19409762130817398","0.38819524261634797"
"crash","1","0.38025008945260197","0.38025008945260197"
"collapsed","2","0.18825238675344735","0.3765047735068947"
"drowning","2","0.18782297207508236","0.3756459441501647"
"causing","2","0.1852624449529685","0.370524889905937"
"gun","1","0.36898582661524415","0.36898582661524415"
"riot","2","0.18314694275613874","0.3662938855122775"
"weather","1","0.3660241549368948","0.3660241549368948"
"radiation","2","0.17992598906857893","0.35985197813715786"
"smoke","1","0.3560491865500808","0.3560491865500808"
"to","21","0.016874632261903253","0.3543672774999683"
"collapse","2","0.17559301346773282","0.35118602693546563"
"onate","6","0.05802239024908179","0.34813434149449074"
"kidnap","1","0.340618594083935","0.340618594083935"
"are","7","0.04857392909027459","0.3400175036319221"
"bus","2","0.1682885328773409","0.3365770657546818"
"hole","6","0.05601943845653699","0.33611663073922193"
"train","1","0.3359261406585574","0.3359261406585574"
"displaced","2","0.16679777088575065","0.3335955417715013"
"when","4","0.08247338767978363","0.3298935507191345"
"suicide","3","0.10843727220263745","0.32531181660791236"
"nairobi","2","0.16232173721073195","0.3246434744214639"
"ter","4","0.07889658657950349","0.31558634631801397"
"cave","1","0.31375942355953157","0.31375942355953157"
"charged","2","0.15356964827515185","0.3071392965503037"
"it","13","0.02355960478238029","0.3062748621709438"
"mining","3","0.1016961979265842","0.3050885937797526"
"winds","2","0.15254141070181504","0.3050828214036301"
"get","5","0.06039011344546452","0.3019505672273226"
"murder","1","0.29706559237092733","0.29706559237092733"
"destruction","1","0.29699516558321193","0.29699516558321193"
"deployed","1","0.2894985822495073","0.2894985822495073"
"passed","2","0.14473790972260758","0.28947581944521517"
"military","3","0.09640977477344374","0.2892293243203312"
"attack","2","0.14313249150291085","0.2862649830058217"
"isis","2","0.14217427764864018","0.28434855529728037"
"death","3","0.09427673237708707","0.28283019713126123"
"california","6","0.046799582846385114","0.2807974970783107"
"rise","2","0.14014333731029183","0.28028667462058365"
"crashed","1","0.27939374349080026","0.27939374349080026"
"capture","1","0.2768404968082905","0.2768404968082905"
"after","4","0.06875568290706724","0.27502273162826896"
"up","9","0.030483409173222422","0.2743506825590018"
"outside","1","0.2733804965391755","0.2733804965391755"
"pakistan","2","0.1362254772684537","0.2724509545369074"
"cute","3","0.090709761748763","0.272129285246289"
"city","4","0.06714669859502465","0.2685867943800986"
"shooting","1","0.26411383831873536","0.26411383831873536"
"shot","1","0.2634268996771425","0.2634268996771425"
"river","3","0.08760746944850932","0.26282240834552795"
"day","5","0.05227087803650647","0.26135439018253237"
"by","8","0.032587656381656414","0.2607012510532513"
"drill","3","0.08688288965883355","0.26064866897650063"
"see","3","0.08651366752261917","0.2595410025678575"
"this","10","0.02576628991325075","0.2576628991325075"
"hotter","1","0.2565537035698071","0.2565537035698071"
"east","3","0.08464329728546242","0.25392989185638726"
"atomic","1","0.24568809906486422","0.24568809906486422"
"take","3","0.0811601773602888","0.2434805320808664"
"traffic","1","0.24128191452473402","0.24128191452473402"
"alarm","1","0.24069143259354556","0.24069143259354556"
"about","8","0.029570276668528093","0.23656221334822475"
