"keyword","appearance_count","average_impact","total_impact"
"destroyed","1","0.583069694112055","0.583069694112055"
"killed","2","0.5483885952271521","1.0967771904543042"
"terrorists","1","0.5294749275781214","0.5294749275781214"
"evacuation","1","0.5173843270167708","0.5173843270167708"
"responding","1","0.517247351934202","0.517247351934202"
"burned","1","0.5012950974050909","0.5012950974050909"
"crash","1","0.38025008945260197","0.38025008945260197"
"gun","1","0.36898582661524415","0.36898582661524415"
"weather","1","0.3660241549368948","0.3660241549368948"
"earthquake","3","0.36593875226875144","1.0978162568062544"
"explosion","2","0.3636690595885739","0.7273381191771477"
"terrorism","3","0.36216175827818614","1.0864852748345584"
"smoke","1","0.3560491865500808","0.3560491865500808"
"fatalities","2","0.34709581383503973","0.6941916276700795"
"terrorist","6","0.3433699027615755","2.0602194165694527"
"kidnap","1","0.340618594083935","0.340618594083935"
"train","1","0.3359261406585574","0.3359261406585574"
"abused","2","0.33551958823227324","0.6710391764645465"
"cave","1","0.31375942355953157","0.31375942355953157"
"tornado","2","0.308930495812092","0.617860991624184"
"hurricane","2","0.3011285378597677","0.6022570757195354"
"murder","1","0.29706559237092733","0.29706559237092733"
"destruction","1","0.29699516558321193","0.29699516558321193"
"deployed","1","0.2894985822495073","0.2894985822495073"
"casualties","2","0.2878831773996353","0.5757663547992706"
"crashed","1","0.27939374349080026","0.27939374349080026"
"capture","1","0.2768404968082905","0.2768404968082905"
"outside","1","0.2733804965391755","0.2733804965391755"
"parole","2","0.2704890621243976","0.5409781242487952"
"shooting","1","0.26411383831873536","0.26411383831873536"
"shot","1","0.2634268996771425","0.2634268996771425"
"hotter","1","0.2565537035698071","0.2565537035698071"
"climate","2","0.24797871499322355","0.4959574299864471"
"atomic","1","0.24568809906486422","0.24568809906486422"
"traffic","1","0.24128191452473402","0.24128191452473402"
"alarm","1","0.24069143259354556","0.24069143259354556"
"survivors","6","0.2356716543630076","1.4140299261780456"
"cancer","1","0.22610124805942178","0.22610124805942178"
"floods","2","0.2259514812612906","0.4519029625225812"
"zombies","1","0.22589036473073065","0.22589036473073065"
"exploded","2","0.22293441882357","0.44586883764714"
"accident","6","0.21995378143501176","1.3197226886100706"
"bomb","5","0.21738782284470898","1.086939114223545"
"storm","19","0.21585126555822956","4.101174045606362"
"police","1","0.21492147457320243","0.21492147457320243"
"attacked","2","0.2130397893488407","0.4260795786976814"
"fire","21","0.2125326940158774","4.463186574333426"
"lightning","1","0.21091874595731497","0.21091874595731497"
"brutally","1","0.21053002802987716","0.21053002802987716"
"mass","2","0.21016855211928487","0.42033710423856974"
"hacked","1","0.20959445647895336","0.20959445647895336"
"famine","2","0.20933969411998987","0.41867938823997974"
"hazardous","2","0.20887587370816618","0.41775174741633236"
"engulfed","4","0.20800432021496817","0.8320172808598727"
"saw","1","0.20753522089216858","0.20753522089216858"
"forces","1","0.20497894077561796","0.20497894077561796"
"infections","1","0.20338880928466097","0.20338880928466097"
"disaster","8","0.20256967782916036","1.6205574226332828"
"volcano","2","0.19977503072004765","0.3995500614400953"
"looting","1","0.1994634261354804","0.1994634261354804"
"plane","1","0.19903943579023084","0.19903943579023084"
"venezuela","1","0.19903823896311224","0.19903823896311224"
"kushima","1","0.19711037445813417","0.19711037445813417"
"fu","1","0.19644597731530666","0.19644597731530666"
"prevention","1","0.19633892714045942","0.19633892714045942"
